"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"173303096034293/173303096034293_5807652409265972","2120","1348","1","173303096034293_5807652409265972","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【DBS digibank HK幸運大抽獎🌟贏智能電視或Sony PlayStation 5🎁】  DBS digibank HK幫您輕鬆理財之餘，繼續為你締造驚喜，幸運大抽獎賞不停！由即日起至2022年10月31日，登入DBS digibank HK，無須登記，即可自動參加大抽獎！有機會贏取以下精彩禮遇！  頭獎🏆Sharp 50吋4K智能電視 - 共2名 二獎🏆Sony PlayStation 5光碟機版遊戲主機 - 共3名 三獎🏆百老匯戲院HK$200禮蜜卡 - 共50名 四獎🏆天仁茗茶HK$50電子優惠券 - 共200名  立即登入，即有機會成為幸運兒！  尚未成為DBS digibank HK用户？ 於2022年10月31日或之前首次登入DBS digibank HK，更可獲額外5次抽獎機會及HK$50現金獎賞。  立即下載DBS digibank HK：go.dbs.com/3uHZjRd 優惠受條款細則約束，了解詳情：go.dbs.com/3RAIz84  #DBS #DBSHK #ThisisDBSDigibanking #DBSdigibankHK #LivemoreBankless #ResponsibleBanking #Stayhomewithdigibanking #Luckydraw","2022-09-28T10:00:53+0000","","","","DBS","173303096034293","","ranked","0","True","","12","NONE","","12","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5807652409265972","","","","","","",""
"173303096034293/173303096034293_5807652409265972/173303096034293_5807652409265972","5236","2120","2","173303096034293_5807652409265972","empty","","fetched (200)","2022-10-12 08:19:06.202594","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807652409265972/173303096034293_5807652409265972","5237","2120","2","173303096034293_5807652409265972","offcut","","fetched (200)","2022-10-12 08:19:06.202594","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
"173303096034293/173303096034293_5807598402604706","2121","1348","1","173303096034293_5807598402604706","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【星級觀點 - 大宗商品貨幣會否回到兩年新低？】  近日美元指數屢創20年新高，並突破114的關口，隨著避險情緒升溫，同時市場對全球經濟前景持續感到擔憂，大宗商品貨幣亦急跌。接下來，相信最大的疑問是，短期內三種貨幣會否回到兩年低位？  即睇DBS #香港財資市場部環球市場策略師 李若凡同大家分析 #市場走勢，助您掌握投資優勢。  想晉身星展豐盛理財客戶，立即申請: go.dbs.com/hk-vao 投資涉及風險，詳情請瀏覽： go.dbs.com/hk-videodisclaimer  #DBS #LivemoreBankless #星展銀行 #DBSTreasure #星展豐盛理財客戶 #星級觀點 #DifferentKindofBank","2022-09-28T08:00:56+0000","","","","DBS","173303096034293","","ranked","0","True","","5","NONE","","5","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5807598402604706","","","","","","",""
"173303096034293/173303096034293_5807598402604706/173303096034293_5807598402604706","5238","2121","2","173303096034293_5807598402604706","empty","","fetched (200)","2022-10-12 08:19:06.522118","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807598402604706/173303096034293_5807598402604706","5239","2121","2","173303096034293_5807598402604706","offcut","","fetched (200)","2022-10-12 08:19:06.522118","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
"173303096034293/173303096034293_5807599369271276","2122","1348","1","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【惜食捐贈 中秋送暖】  惜食除咗可以減少食物浪費，仲可以為有需要嘅人帶嚟一份溫暖。   DBS早前聯同 Foodlink Foundation 膳心連基金 合作舉辦中秋月餅及食物捐贈計劃，經過DBS員工踴躍捐獻，共收集到200KG嘅月餅及食物，再經膳心連基金轉贈畀有需要人士送上佳節祝福，仲為減少節日所產生嘅食物浪費出一分力！  #DBSHK #LivemoreBankless #DifferentKindOfBank #LivemoreWasteless #TowardsZeroFoodWaste #Sustainability #惜食中秋 #分享更滿足","2022-09-28T04:00:01+0000","","","","DBS","173303096034293","","ranked","2","True","","252","NONE","","247","NONE","","2","NONE","","2","NONE","","0","NONE","","0","NONE","","1","NONE","173303096034293_5807599369271276","","","","","","",""
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5240","2122","2","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","👍💗","2022-09-30T14:54:27+0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5241","2122","2","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","今年又冇嘢送客","2022-10-01T05:20:50+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5242","2122","2","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","","2022-10-03T01:23:44+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
