,bank
HSBC,10625
MOX,4258
CITI,3596
DBS,2691
SC,2393
CNCBI,1719
ZA,1524
ICBC,1522
DS,1170
BEA,890
WELAB,878
WH,833
CCB,499
LIVI,467
AIR,35
