bank,level,level
AIR,2,23
AIR,1,12
BEA,2,751
BEA,1,139
CCB,2,378
CCB,1,121
CITI,2,3443
CITI,1,153
CNCBI,2,1588
CNCBI,1,131
DBS,2,2532
DBS,1,159
DS,2,1067
DS,1,103
HSBC,2,10402
HSBC,1,223
ICBC,2,1473
ICBC,1,49
LIVI,2,398
LIVI,1,69
MOX,2,4186
MOX,1,72
SC,2,2266
SC,1,127
WELAB,2,814
WELAB,1,64
WH,2,789
WH,1,44
ZA,2,1461
ZA,1,63
